accession,description,project,species,taxid,tissue,BTO,mods,spectra,proteins,peptides,MS2,MS1,enzyme
15,"HUPO Plasma Proteome Project, Lab # 4 Expt # 72",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,253,3056,0,0,Trypsin
16,"HUPO Plasma Proteome Project, Lab # 8 Expt # 73",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,189,1353,0,0,Trypsin
17,"HUPO Plasma Proteome Project, Lab # 11 Expt # 10",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,174,540,0,0,Trypsin
18,"HUPO Plasma Proteome Project, Lab # 11 Expt # 11",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,159,581,0,0,Trypsin
19,"HUPO Plasma Proteome Project, Lab # 11 Expt # 12",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,196,613,0,0,Trypsin
20,"HUPO Plasma Proteome Project, Lab # 11 Expt # 13",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,162,540,0,0,Trypsin
21,"HUPO Plasma Proteome Project, Lab # 12 Expt # 19",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,356,514,0,0,Trypsin
22,"HUPO Plasma Proteome Project, Lab # 12 Expt # 20",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,319,529,0,0,Trypsin
23,"HUPO Plasma Proteome Project, Lab # 12 Expt # 21",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,401,615,0,0,Trypsin
24,"HUPO Plasma Proteome Project, Lab # 12 Expt # 22",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,339,519,0,0,Trypsin
25,"HUPO Plasma Proteome Project, Lab # 17 Expt # 61",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,208,1569,0,0,Trypsin
26,"HUPO Plasma Proteome Project, Lab # 21 Expt # 23",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,632,1601,0,0,Trypsin
27,"HUPO Plasma Proteome Project, Lab # 21 Expt # 24",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,185,325,0,0,Trypsin
28,"HUPO Plasma Proteome Project, Lab # 21 Expt # 25",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,234,2788,0,0,Trypsin
29,"HUPO Plasma Proteome Project, Lab # 21 Expt # 65",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,632,1601,0,0,Trypsin
30,"HUPO Plasma Proteome Project, Lab # 21 Expt # 66",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,632,1601,0,0,Trypsin
31,"HUPO Plasma Proteome Project, Lab # 21 Expt # 67",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,185,325,0,0,Trypsin
32,"HUPO Plasma Proteome Project, Lab # 21 Expt # 68",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,185,325,0,0,Trypsin
33,"HUPO Plasma Proteome Project, Lab # 21 Expt # 69",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,234,2788,0,0,Trypsin
34,"HUPO Plasma Proteome Project, Lab # 21 Expt # 70",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,234,2788,0,0,Trypsin
35,"HUPO Plasma Proteome Project, Lab # 22 Expt # 64",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,922,1187,0,0,Trypsin
36,"HUPO Plasma Proteome Project, Lab # 22 Expt # 74",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,527,8926,0,0,Trypsin
37,"HUPO Plasma Proteome Project, Lab # 22 Expt # 75",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,122,1442,0,0,Trypsin
38,"HUPO Plasma Proteome Project, Lab # 22 Expt # 76",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,505,8782,0,0,Trypsin
39,"HUPO Plasma Proteome Project, Lab # 22 Expt # 77",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,120,1431,0,0,Trypsin
40,"HUPO Plasma Proteome Project, Lab # 22 Expt # 78",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,549,9304,0,0,Trypsin
41,"HUPO Plasma Proteome Project, Lab # 22 Expt # 79",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,141,1539,0,0,Trypsin
42,"HUPO Plasma Proteome Project, Lab # 22 Expt # 80",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,503,8405,0,0,Trypsin
43,"HUPO Plasma Proteome Project, Lab # 22 Expt # 81",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,486,8602,0,0,Trypsin
44,"HUPO Plasma Proteome Project, Lab # 22 Expt # 82",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,67,678,0,0,Trypsin
45,"HUPO Plasma Proteome Project, Lab # 22 Expt # 83",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,506,8730,0,0,Trypsin
46,"HUPO Plasma Proteome Project, Lab # 22 Expt # 84",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,506,8735,0,0,Trypsin
47,"HUPO Plasma Proteome Project, Lab # 22 Expt # 85",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,157,1600,0,0,Trypsin
48,"HUPO Plasma Proteome Project, Lab # 22 Expt # 86",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,479,7935,0,0,Trypsin
49,"HUPO Plasma Proteome Project, Lab # 22 Expt # 87",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,153,1817,0,0,Trypsin
50,"HUPO Plasma Proteome Project, Lab # 22 Expt # 88",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,515,8899,0,0,Trypsin
51,"HUPO Plasma Proteome Project, Lab # 22 Expt # 89",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,482,7386,0,0,Trypsin
52,"HUPO Plasma Proteome Project, Lab # 22 Expt # 90",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,140,1574,0,0,Trypsin
53,"HUPO Plasma Proteome Project, Lab # 22 Expt # 91",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,483,8415,0,0,Trypsin
54,"HUPO Plasma Proteome Project, Lab # 22 Expt # 92",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,136,1553,0,0,Trypsin
55,"HUPO Plasma Proteome Project, Lab # 22 Expt # 93",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,482,8198,0,0,Trypsin
56,"HUPO Plasma Proteome Project, Lab # 22 Expt # 94",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,129,1389,0,0,Trypsin
57,"HUPO Plasma Proteome Project, Lab # 24 Expt # 62",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,68,206,0,0,Trypsin
58,"HUPO Plasma Proteome Project, Lab # 24 Expt # 63",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,39,87,0,0,Trypsin
59,"HUPO Plasma Proteome Project, Lab # 26 Expt # 1",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,451,3176,0,0,Trypsin
60,"HUPO Plasma Proteome Project, Lab # 28 Expt # 2",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,4841,4841,0,0,Trypsin
61,"HUPO Plasma Proteome Project, Lab # 28 Expt # 3",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,4555,4566,0,0,Trypsin
62,"HUPO Plasma Proteome Project, Lab # 28 Expt # 4",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,5833,5833,0,0,Trypsin
63,"HUPO Plasma Proteome Project, Lab # 28 Expt # 5",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,5774,5774,0,0,Trypsin
64,"HUPO Plasma Proteome Project, Lab # 28 Expt # 6",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,5507,5507,0,0,Trypsin
65,"HUPO Plasma Proteome Project, Lab # 28 Expt # 7",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,6071,6071,0,0,Trypsin
66,"HUPO Plasma Proteome Project, Lab # 29 Expt # 44",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,456,514,0,0,Trypsin
67,"HUPO Plasma Proteome Project, Lab # 29 Expt # 45",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,872,1122,0,0,Trypsin
68,"HUPO Plasma Proteome Project, Lab # 29 Expt # 46",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,456,517,0,0,Trypsin
69,"HUPO Plasma Proteome Project, Lab # 29 Expt # 47",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,1604,2146,0,0,Trypsin
70,"HUPO Plasma Proteome Project, Lab # 29 Expt # 48",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,1557,2110,0,0,Trypsin
71,"HUPO Plasma Proteome Project, Lab # 29 Expt # 49",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,722,1131,0,0,Trypsin
72,"HUPO Plasma Proteome Project, Lab # 29 Expt # 50",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,2412,3279,0,0,Trypsin
73,"HUPO Plasma Proteome Project, Lab # 29 Expt # 51",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,1943,2612,0,0,Trypsin
74,"HUPO Plasma Proteome Project, Lab # 29 Expt # 52",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,2295,3076,0,0,Trypsin
75,"HUPO Plasma Proteome Project, Lab # 29 Expt # 53",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,1177,1701,0,0,Trypsin
76,"HUPO Plasma Proteome Project, Lab # 29 Expt # 54",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,2441,3367,0,0,Trypsin
77,"HUPO Plasma Proteome Project, Lab # 33 Expt # 71",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,175,779,0,0,Trypsin
78,"HUPO Plasma Proteome Project, Lab # 34 Expt # 14",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,850,1880,0,0,Trypsin
79,"HUPO Plasma Proteome Project, Lab # 34 Expt # 15",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,4259,8714,0,0,Trypsin
80,"HUPO Plasma Proteome Project, Lab # 37 Expt # 95",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,57,666,0,0,Trypsin
81,"HUPO Plasma Proteome Project, Lab # 37 Expt # 96",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,39,485,0,0,Trypsin
82,"HUPO Plasma Proteome Project, Lab # 37 Expt # 97",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,49,592,0,0,Trypsin
83,"HUPO Plasma Proteome Project, Lab # 37 Expt # 98",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,31,336,0,0,Trypsin
84,"HUPO Plasma Proteome Project, Lab # 40 Expt # 27",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,2752,6112,0,0,Trypsin
85,"HUPO Plasma Proteome Project, Lab # 41 Expt # 28",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,238,238,0,0,Lys-C
86,"HUPO Plasma Proteome Project, Lab # 41 Expt # 29",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,208,208,0,0,Arg-C
87,"HUPO Plasma Proteome Project, Lab # 41 Expt # 30",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,134,134,0,0,Lys-C
88,"HUPO Plasma Proteome Project, Lab # 41 Expt # 31",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,311,311,0,0,Arg-C
89,"HUPO Plasma Proteome Project, Lab # 41 Expt # 32",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,239,239,0,0,Trypsin
90,"HUPO Plasma Proteome Project, Lab # 43 Expt # 55",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,41,162,0,0,Arg-C
91,"HUPO Plasma Proteome Project, Lab # 43 Expt # 56",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,46,172,0,0,Trypsin
92,"HUPO Plasma Proteome Project, Lab # 43 Expt # 57",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,60,230,0,0,Trypsin
93,"HUPO Plasma Proteome Project, Lab # 43 Expt # 58",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,103,464,0,0,Trypsin
94,"HUPO Plasma Proteome Project, Lab # 43 Expt # 59",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,47,243,0,0,Trypsin
95,"HUPO Plasma Proteome Project, Lab # 43 Expt # 60",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,46,145,0,0,Trypsin
96,"HUPO Plasma Proteome Project, Lab # 46 Expt # 33",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,3042,5038,0,0,Trypsin
97,"HUPO Plasma Proteome Project, Lab # 46 Expt # 34",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,2877,4602,0,0,Trypsin
98,"HUPO Plasma Proteome Project, Lab # 55 Expt # 35",HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,2320,4310,0,0,Trypsin
99,Golgi Intact TOTAL N=1, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,410,2186,0,0,Trypsin
100,Golgi Intact TOTAL N=2, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,669,4423,0,0,Trypsin
101,Golgi Intact TOTAL N=3, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,449,2710,0,0,Trypsin
102,COPI Vesicles N=1, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,386,2101,0,0,Trypsin
103,COPI Vesicles N=2, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,460,2628,0,0,Trypsin
104,COPI Vesicles N=3, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,434,2554,0,0,Trypsin
105,COPI GTP gamma S N=1, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,704,4602,0,0,Trypsin
106,COPI GTP gamma S N=2, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,727,4771,0,0,Trypsin
107,COPI GTP gamma S N=3, N/A,Rattus norvegicus (Rat),10116,liver,BTO:0000759, N/A,0,958,6288,0,0,Trypsin
108,Anonymous data set GPM32000001463,GPMDB Submission: Anonymous Data Set,Homo sapiens (Human),9606, N/A, N/A, N/A,0,12,24,0,0,Trypsin
109,Plasma Proteome (GPM10100000612),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,37,41,0,0,Trypsin
110,Aurum spectra T10467 (GPM87400002009),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,63,378,0,0,Arg-C
111,Aurum spectra T10475 (GPM87400002010),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,56,454,0,0,Trypsin
112,Aurum spectra T10622 (GPM87400002011),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,50,283,0,0,Arg-C
113,Aurum spectra T10445 (GPM87400002012),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,58,360,0,0,Trypsin
114,Aurum spectra T10707 (GPM87400002013),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,64,560,0,0,Trypsin
115,Aurum spectra T10739 (GPM87400002014),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,46,232,0,0,Trypsin
116,Aurum spectra T10761 (GPM87400002015),GPMDB Submission: Aurum Spectra,Homo sapiens (Human),9606, N/A, N/A, N/A,0,42,170,0,0,Trypsin
117,Plasma Proteome (GPM10100000613),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,43,45,0,0,Trypsin
118,Anonymous data set (GPM10100000614),GPMDB Submission: Anonymous Data Set,Homo sapiens (Human),9606, N/A, N/A, N/A,0,0,0,0,0,Trypsin
119,Anonymous data set (GPM10100000615),GPMDB Submission: Anonymous Data Set,Homo sapiens (Human),9606, N/A, N/A, N/A,0,0,0,0,0,Trypsin
120,Anonymous data set (GPM10100000616),GPMDB Submission: Anonymous Data Set,Homo sapiens (Human),9606, N/A, N/A, N/A,0,0,0,0,0,Trypsin
121,Plasma Proteome (GPM10100000617),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,55,131,0,0,Trypsin
122,Plasma Proteome (GPM10100000618),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,55,131,0,0,Trypsin
123,Plasma Proteome (GPM10100000619),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,51,137,0,0,Trypsin
124,Plasma Proteome (GPM10100000620),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,52,128,0,0,Trypsin
125,Plasma Proteome (GPM10100000621),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,52,107,0,0,Trypsin
126,Plasma Proteome (GPM10100000622),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,53,112,0,0,Trypsin
127,Plasma Proteome (GPM10100000623),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,68,117,0,0,Trypsin
128,Plasma Proteome (GPM10100000624),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,55,95,0,0,Trypsin
129,Plasma Proteome (GPM10100000625),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,61,122,0,0,Trypsin
130,Plasma Proteome (GPM10100000626),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,96,157,0,0,Trypsin
131,Plasma Proteome (GPM10100000627),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,66,127,0,0,Trypsin
132,Plasma Proteome (GPM10100000628),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,53,98,0,0,Trypsin
133,Plasma Proteome (GPM10100000629),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,72,144,0,0,Trypsin
134,Plasma Proteome (GPM10100000630),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,79,126,0,0,Trypsin
135,Plasma Proteome (GPM10100000631),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,58,102,0,0,Trypsin
136,Plasma Proteome (GPM10100000632),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,81,144,0,0,Trypsin
137,Plasma Proteome (GPM10100000633),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,54,101,0,0,Trypsin
138,Plasma Proteome (GPM10100000634),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,89,140,0,0,Trypsin
139,Plasma Proteome (GPM10100000635),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,96,155,0,0,Trypsin
140,Plasma Proteome (GPM10100000636),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,78,129,0,0,Trypsin
141,Plasma Proteome (GPM10100000637),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,103,158,0,0,Trypsin
142,Plasma Proteome (GPM10100000638),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,96,135,0,0,Trypsin
143,Plasma Proteome (GPM10100000639),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,97,158,0,0,Trypsin
144,Plasma Proteome (GPM10100000640),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,70,117,0,0,Trypsin
145,Plasma Proteome (GPM10100000641),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,85,111,0,0,Trypsin
146,Plasma Proteome (GPM10100000642),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,113,139,0,0,Trypsin
147,Plasma Proteome (GPM10100000643),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,95,118,0,0,Trypsin
148,Plasma Proteome (GPM10100000644),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,92,108,0,0,Trypsin
149,Plasma Proteome (GPM10100000645),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,78,91,0,0,Trypsin
150,Plasma Proteome (GPM10100000646),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,96,112,0,0,Trypsin
151,Plasma Proteome (GPM10100000647),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,95,120,0,0,Trypsin
152,Plasma Proteome (GPM10100000648),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,80,97,0,0,Trypsin
153,Plasma Proteome (GPM10100000649),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,95,112,0,0,Trypsin
154,Plasma Proteome (GPM10100000650),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,82,110,0,0,Trypsin
155,Plasma Proteome (GPM10100000651),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,64,88,0,0,Trypsin
156,Plasma Proteome (GPM10100000652),GPMDB Submission: Plasma Proteome,Homo sapiens (Human),9606, N/A, N/A, N/A,0,74,109,0,0,Trypsin
